domain,company_name,tld,status,description,date,ollama_country,final_country,processed_at
lcinformatiquesrl.com,LC Informatique Sàrl,com,breached,Conseil – Vente Installation informatique Dépannage informatique Réparation toutes marques LC Informatique Sàrl Chemin de la Praille 5 1920 Martigny,2025-10-08,Switzerland,Switzerland,2025-10-21T10:01:26.913117
allgusternhotel.com,Allgäu Stern Hotel,com,breached,"AllgäuSternHotel in Sonthofen is a versatile hotel in the Allgäu region, catering to both vacationers and conference attendees. With over 400 rooms and suites, ...",2025-10-08,Germany,Germany,2025-10-21T10:01:27.323605
gruposerex.com,Grupo Serex,com,breached,Segramar — Bulk Handling at Ports Bulk cargo unloading and loading of raw materials at Maracaibo and Puerto Cabello ports. Berthing assistance for bulk carrie...,2025-10-08,Venezuela,Venezuela,2025-10-21T10:01:27.795850
cofiexasesoradeempresassl.com,"Cofiex Asesoría de Empresas, S.L",com,breached,"Cofiex Asesoría de Empresas, S.L. Type: Business consulting and tax advisory firm Location: Navalmoral de la Mata, Cáceres, Extremadura, Spain Industry: Account...",2025-10-08,Spain,Spain,2025-10-21T10:01:28.239108
greenvillelegal.com,Greenville Legal,com,breached,"David R. Price, Jr., P.A. is a personal injury law firm based in Greenville, South Carolina, specializing in a wide range of legal matters including auto accide...",2025-09-30,United States,United States,2025-10-21T10:01:28.725326
asserson.com,Asserson,com,breached,"(Clients, counterparties, lobbying, deceit, intimidation, pressure on journalists, and other tactics, as revealed in over half a million documents) Asserson Law...",2025-09-27,unknown,Unknown,2025-10-21T10:01:29.089346
rothmannimmobilien.com,Rothmann Immobilien,com,breached,(Client data inside) Rothmann Immobilien GmbH is a company that operates in the Real Estate industry. It employs 1to4 people and has 1Mto5M of revenue.,2025-09-26,Germany,Germany,2025-10-21T10:01:29.551132
ftcsforage.com,FTCS Forage,com,breached,"(Client data, accounting records, and internal documentation) FTCS Forage is a company that operates in the Civil Engineering Construction industry. It employs ...",2025-09-26,unknown,Unknown,2025-10-21T10:01:30.736789
memphismillwork.com,Memphis Millwork,com,breached,"(Client data, accounting records, and internal documentation) Memphis Millwork specializes in commercial architectural millwork, catering to clients in Memphis ...",2025-09-26,United States,United States,2025-10-21T10:01:31.213148
cardinalmachinery.com,Cardinal Machinery,com,breached,"(Full data) Cardinal Machinery is a family-owned business with over 50 years of experience in the Machine Tool Industry, serving clients across Tennessee, Alaba...",2025-09-26,unknown,Unknown,2025-10-21T10:01:31.822437
concordnewenergygroup.com,Concord New Energy Group,com,breached,"Concord New Energy Group Limited (CNE) specializes in wind and solar power operation. To date, we are the only pure vertical integrated clean energy power compa...",2025-09-16,unknown,Unknown,2025-10-21T10:01:32.275571
engineeredadvantage.com,Engineered Advantage,com,breached,"Engineered Advantage, PSC (EA) is an architecture and engineering (A/E) firm dedicated to serving the public and private sector in the areas of architecture, ci...",2025-09-08,unknown,Unknown,2025-10-21T10:01:32.744279
caprezingenieureag.com,Caprez Ingenieure AG,com,breached,"Caprez Ingenieure AG provides structural, civil, bridge, water supply, sewage, snow-making, building maintenance, and special fields engineering services.",2025-09-01,Switzerland,Switzerland,2025-10-21T10:01:33.304572
abmwirelessinc.com,ABM Wireless INC,com,breached,"Inscope is a New York based Master Dealer in the wireless distribution space. Established in 2002, we have grown to become one of the largest Master Dealers for...",2025-08-30,United States,United States,2025-10-21T10:01:33.813057
hilcometalbuildingroofingsupply.com,Hilco Metal Building & Roofing Supply,com,breached,"Hilco Metal Building & Metal Roofing Supply specializes in providing a comprehensive range of metal buildings, roofing materials, and custom-designed arenas spe...",2025-08-30,unknown,Unknown,2025-10-21T10:01:34.351308
parkcountryclub.com,Park Country Club,com,breached,(financial documentation and clients' data internally) Park Country Club is a premier traditional country club located in Western New York. The club offers a co...,2025-08-30,United States,United States,2025-10-21T10:01:34.822804
toowoombafriendlysocietydispensary.com,Toowoomba Friendly Society Dispensary,com,breached,"(Financial documents, counterparties, clients) Friendlies Mobility & Independent Living is a trusted community health partner based in Toowoomba, offering mobil...",2025-08-30,Australia,Australia,2025-10-21T10:01:35.330728
provalvearmaturengmbhcokg.com,Provalve Armaturen GmbH & Co. KG,com,breached,"(Financial documents, counterparties, clients) PROVALVE Armaturen GmbH & Co. KG specializes in high-quality valves and fittings designed for demanding applicati...",2025-08-30,Germany,Germany,2025-10-21T10:01:35.849490
engineeredcomponents.com,Engineered Components,com,breached,"(Financial documents, counterparties, clients) We also distribute a multitude of other components that are utilized by original equipment manufacturers worldwid...",2025-08-30,unknown,Unknown,2025-10-21T10:01:36.310059
thesmilespa.com,The Smile Spa,com,breached,"At the Smile Spa in Baton Rouge, LA, Dr. Aimee Russo-Mounger provides a variety of dental and spa services. Schedule a dentist appointment or fun spa day.",2025-08-27,USA,USA,2025-10-21T10:01:36.797997
grupodiria.com,Grupo DIRIA,com,breached,"Grupo Diria is a provider of luxury accommodation in Tamarindo Beach, Costa Rica, offering a range of hotels and resorts. The company is committed to respecting...",2025-08-27,Costa Rica,Costa Rica,2025-10-21T10:01:37.381696
dottoricommercialistiassociati.com,Dottori Commercialisti Associati,com,breached,(including financial documentation and client data) DCA - Dottori Commercialisti Associati is a professional association founded by members with over 20 years o...,2025-08-23,unknown,Unknown,2025-10-21T10:01:37.976347
georgehaneyson.com,George Haney & Son,com,breached,"George Haney & Son Inc is a family-owned HVAC contractor based in Pasadena, CA, providing services to the San Fernando and San Gabriel Valleys. With a strong re...",2025-08-23,USA,USA,2025-10-21T10:01:38.429980
selartex.com,Selartex,com,breached,"Selartex is a prominent wholesaler of home textiles in France, boasting over 35 years of experience. The company specializes in offering a wide range of home li...",2025-08-23,France,France,2025-10-21T10:01:38.935296
geaconsultingengineers.com,GEA Consulting Engineers,com,breached,"(including financial documentation and client data) Founded in 1996, GEA Consulting Engineers is an engineering firm specializing in the design of mechanical, e...",2025-08-23,unknown,Unknown,2025-10-21T10:01:39.516748
fullcolourcomlimited.com,Fullcolour.com Limited,com,breached,"We are a family printing business providing Printed Products since 1993. Brochures, leaflets, folders, business stationery, banners, pads and much more.",2025-08-22,United Kingdom,United Kingdom,2025-10-21T10:01:40.065596
fiermannellerde.com,fiermann-eller.de,com,breached,Fachärzte für Allgemeinmedizin und Innere Medizin Die hausärztliche Medizin bildet die Grundsäule der ärztlichen Versorgung. Wir beraten Sie gerne als erste An...,2025-08-21,Germany,Germany,2025-10-21T10:01:40.534457
techsourceoneitsolutionsprovider.com,TechSourceOne IT Solutions Provider,com,breached,"Email services & protection Managed email services including SPAM filters, anti-virus, anti-malware protection.",2025-08-21,unknown,Unknown,2025-10-21T10:01:41.759960
inearhearthedifference.com,InEar hear the difference,com,breached,"InEar GmbH & Co. KG ist ein deutscher Hersteller hochwertiger Hörlösungen mit Sitz in Dieburg. Das Unternehmen entwickelt, produziert und vertreibt innovative I...",2025-08-21,Germany,Germany,2025-10-21T10:01:42.217556
krewett.com,Krewett,com,breached,"Das Ingenieurbüro Dipl.-Ing. K. Krewett in Iserlohn bietet fundierte Ingenieurdienstleistungen in verschiedenen Bereichen wie Bauplanung, technische Beratung un...",2025-08-21,Germany,Germany,2025-10-21T10:01:42.772180
itweltundtelekommunikationverschmelzen.com,IT-Welt und Telekommunikation verschmelzen,com,breached,IT-Welt und Telekommunikation verschmelzen Wir haben uns auf diese Entwicklung eingestellt und stehen für unsere Kunden als Komplettanbieter für Branchensoftwa...,2025-08-21,unknown,Unknown,2025-10-21T10:01:44.034426
tombmultimediaproductions.com,Tomb Multimedia Productions,com,breached,Providing guidance to the right solution in this ever-evolving landscape we call tomorrow.,2025-08-21,unknown,Unknown,2025-10-21T10:01:44.564093
sonitrolsecuritysolutionssecurefl.com,Sonitrol Security Solutions (SecureFL),com,breached,Our mission is to provide the best in electronic security so that OUR community is a safer place to live and work.,2025-08-21,United States,United States,2025-10-21T10:01:45.041135
dualinforhitoinovation.com,Dualinfor hito inovation,com,breached,Dualinfor : Desde 1998 Operamos no mercado português desde Novembro de 1998. Oferecemos uma gama selecionada de produtos e de serviços especialmente orientado...,2025-08-21,Portugal,Portugal,2025-10-21T10:01:45.583922
pln.com,PLN,com,breached,"Core business is the supply of electricity, especially in generation, transmission and distribution. Obtaining the task of electrifying all over the archipelago...",2025-08-21,Indonesia,Indonesia,2025-10-21T10:01:46.081545
diversifiedprojectservicesinternational.com,Diversified Project Services International,com,breached,"Diversified Project Services International, Inc. (DPSI) is a leader in engineering, geomatics (surveying), planning, permitting, inspection, energy management a...",2025-08-06,unknown,Unknown,2025-10-21T10:01:46.711765
newtonelectricalcontractors.com,Newton Electrical Contractors,com,breached,High profile NICEIC Approved Electrical Contractors based in Harrogate and Ripon. We pride ourselves on our quality workmanship within our local family run busi...,2025-08-05,United Kingdom,United Kingdom,2025-10-21T10:01:47.259043
k2l.com,K2L,com,breached,Die Digitalisierung schreitet mit Riesenschritten voran. Seit unserer Gründung im Jahr 2003 beraten wir stets auf dem neuesten technischen Stand und unterstütz...,2025-08-04,unknown,Unknown,2025-10-21T10:01:47.873709
wedlich.com,Wedlich,com,breached,WEDLICH. Immobilien & Projektentwicklung war bis 2023 ein Fullservice-Logistiker mit Hauptsitz in Bayreuth. Unser Unternehmen bietet seit 2024 bundesweit zuverl...,2025-08-04,Germany,Germany,2025-10-21T10:01:48.392921
koenighausverwaltung.com,Koenig Hausverwaltung,com,breached,"Seit mehr als 30 Jahren beschäftigen wir uns zuverlässig, kompetent und mit großem Engagement mit der Verwaltung",2025-08-04,Germany,Germany,2025-10-21T10:01:48.939401
bancoguanabara.com,Banco Guanabara,com,breached,"Banco Guanabara, financiamento de veculos comerciais, financie seu nibus, caminhes e Sprinters, CDC, Leasing, BNDES Finame e Finame Leasing, Av. Brasil 8.255 Ra...",2025-08-03,Brazil,Brazil,2025-10-21T10:01:49.310489
clemensconstruction.com,Clemens Construction,com,breached,"(Banking, insurance, financial, and HR documentation. Audit. Client documentation.) Clemens Construction is a reputable construction firm based in Philadelphia,...",2025-08-02,United States,United States,2025-10-21T10:01:49.807982
pitmanfarms.com,Pitman Farms,com,breached,"(Financial, banking, and audit documentation. Suppliers, clients, mail correspondence, and many more interesting things about how to significantly increase prof...",2025-08-02,unknown,Unknown,2025-10-21T10:01:50.415678
framonspa.com,Framon S.p.A.,com,breached,FRAMON S.p.A. is an important company that since 1973 is present in the worldwide market as one of the main manufacturing company of non-ferrous casting compone...,2025-08-01,Italy,Italy,2025-10-21T10:01:50.848008
softwaredesignconsultinggroup.com,Software Design Consulting Group,com,breached,"Software Design Consulting Group specializes in tailored software solutions aimed at optimizing business processes across various industries in Dubai, Beirut, a...",2025-07-28,United Arab Emirates,United Arab Emirates,2025-10-21T10:01:51.537631
votavanantzjohnson.com,Votava Nantz & Johnson,com,breached,"(Including customer data) VNJ Law is a prominent law firm in Kansas and Missouri that specializes in personal injury cases, including auto accidents, medical ma...",2025-07-28,United States,United States,2025-10-21T10:01:52.041449
dawhitacreconstruction.com,DA Whitacre Construction,com,breached,"D.A. Whitacre Construction, Inc. is a San Diego-based commercial construction firm with nearly 40 years of experience. The company specializes in framing and ha...",2025-07-28,United States,United States,2025-10-21T10:01:52.584260
mdlabelsgmbhcom.com,md-labels-gmbh.com,com,breached,"Property of the Company Production of product labels. Brief description of Mehmet-Serif Dalyanoglu, label production, ""MD Labels"" Mehmet-Serif Dalyanoglu, labe...",2025-07-25,Germany,Germany,2025-10-21T10:01:53.109576
emersonchiropractic.com,Emerson Chiropractic,com,breached,"Emerson Chiropractic has been serving the Southside of Indianapolis, Greenwood, and surrounding communities for over 25 years. Dr. Christian Carter is dedicated...",2025-07-25,United States,United States,2025-10-21T10:01:53.650565
greeniverse.com,Greeniverse,com,breached,Greeniverse is a leading solar system company that assists to design and install a solar system to meet the needs of homes and businesses.,2025-07-19,unknown,Unknown,2025-10-21T10:01:54.233364
farbenzentrumschlegel.com,Farben-Zentrum Schlegel,com,breached,"We are always happy to help you, whether it is roof paints for the renovation of your roof tiles, filling spray cans with varnishes, industrial varnishes or pai...",2025-07-19,Germany,Germany,2025-10-21T10:01:54.771313
homesolutionsofiowa.com,Home Solutions of Iowa,com,breached,"Home Solutions of Iowa is a comprehensive exterior remodeling company that specializes in offering high-quality LeafGuard® gutters, roofing solutions, and insul...",2025-07-18,United States,United States,2025-10-21T10:01:55.301209
joniljaneckiassociates.com,Joni L Janecki & Associates,com,breached,"Joni L. Janecki & Associates has been designing ecologically restorative and award-winning outdoor environments for over 30 years, fostering connections to natu...",2025-07-16,unknown,Unknown,2025-10-21T10:01:55.902944
waverlycabinets.com,Waverly Cabinets,com,breached,"Waverly Cabinets specializes in providing affordable, high-quality Ready-To-Assemble (RTA) cabinets and related products, including vanities and flooring. Their...",2025-07-16,unknown,Unknown,2025-10-21T10:01:57.018907
burnettandsonmeat.com,Burnett and Son Meat,com,breached,"Burnett and Son Meat Company develops ready-to-eat microwaveable meats and meals using a unique blend of culinary proficiency, food trend knowledge, food scienc...",2025-07-16,unknown,Unknown,2025-10-21T10:01:57.645113
5sec.com,5àSec,com,breached,"To our surprise, company representatives stated that for a network of over 2000 dry cleaners, publishing database dumps for several countries of presence would ...",2025-07-16,unknown,Unknown,2025-10-21T10:01:58.240787
mausolffimmobilien.com,Mausolff Immobilien,com,breached,"Selling and renting real estate is a matter of absolute trust. With over 35 years of experience and numerous continuing education courses, I am confident that I...",2025-07-15,Germany,Germany,2025-10-21T10:01:58.758872
belk.com,Belk,com,breached,"Headquartered in Monroe, North Carolina, Belk is a department store that offers apparel, shoes, accessories, cosmetics, home furnishings and wedding registry on...",2025-07-14,United States,United States,2025-10-21T10:01:59.291225
cityofkeenenh.com,"City of Keene, NH",com,breached,"Keene is a city in Cheshire County, New Hampshire, United States. The population was 23,409 at the 2010 census. It is the seat of Cheshire County. Keene is home...",2025-07-11,United States,United States,2025-10-21T10:01:59.734782
ppcmechanicalseals.com,PPC Mechanical Seals,com,breached,"PPC Mechanical Seals was founded in 1958 in Baton Rouge, Louisiana and was one of the first mechanical seal companies to provide repair service on all types of ...",2025-07-09,United States,United States,2025-10-21T10:02:00.258847
cahillseeds.com,Cahill Seeds,com,breached,"Cahill Seeds is one of the largest seed growers in eastern Montana, established in 1996. The company specializes in identifying, testing, and multiplying seed g...",2025-07-08,United States,United States,2025-10-21T10:02:00.760453
silverliningherbs.com,Silver Lining Herbs,com,breached,"Silver Lining Herbs specializes in herbal supplements for horses, dogs, and humans, providing natural health products aimed at enhancing the well-being of both ...",2025-07-05,unknown,Unknown,2025-10-21T10:02:01.343940
alleghenyansweringservice.com,Allegheny Answering Service,com,breached,"Allegheny Answering Service offers a diverse range of communication solutions including answering services and call center services, operating 24/7/365 from the...",2025-07-02,unknown,Unknown,2025-10-21T10:02:01.804329
hkgdutyfree.com,HKG Duty Free,com,breached,"(database dumps inside) HKG Duty Free is the market leader in electronics, but also now developing comprehensive fashion brand portfolio including Mont Blanc, F...",2025-07-02,Hong Kong,Hong Kong,2025-10-21T10:02:02.389942
jccrockland.com,JCC Rockland,com,breached,The JCC Rockland is dedicated to the enrichment and continuity of Jewish life and to the preservation and celebration of our rich heritage. The center shall str...,2025-07-02,United States,United States,2025-10-21T10:02:02.816445
dealmedmedicalsupplies.com,Dealmed Medical Supplies,com,breached,(Data of the entire group of companies) Dealmed provides a comprehensive range of medical supplies designed for healthcare professionals. Their products cater t...,2025-06-26,unknown,Unknown,2025-10-21T10:02:03.425405
paytelcommunications.com,Pay Tel Communications,com,breached,"Pay Tel Communications, Inc. specializes in providing technology solutions designed to enhance safety and efficiency within confinement facilities and support t...",2025-06-26,unknown,Unknown,2025-10-21T10:02:04.040907
johnstonesupplydallasfortworth.com,Johnstone Supply Dallas-Fort Worth,com,breached,"Our team is driven by the opportunity to deliver outstanding service to everyone who may visit our stores. Ethics, partnership and integrity are the main values...",2025-06-26,United States,United States,2025-10-21T10:02:04.576190
antigoconstruction.com,Antigo Construction,com,breached,"(including email) Antigo Construction is located in Antigo, Wisconsin, and is the company headquarters for the North American and international business operati...",2025-06-26,United States,United States,2025-10-21T10:02:05.096335
agganisdrivingschool.com,Agganis Driving School,com,breached,"Agganis Driving School offers a comprehensive driving program that includes classes, road tests, and specialized training such as defensive driving techniques. ...",2025-06-23,unknown,Unknown,2025-10-21T10:02:05.521658
hilliardenterprises.com,Hilliard Enterprises,com,breached,"Hilliard Enterprises, Incorporated specializes in the worldwide sale, service, and parts supply for used locomotives and marine engines. They pride themselves o...",2025-06-23,unknown,Unknown,2025-10-21T10:02:06.162682
brownwinters.com,Brown & Winters,com,breached,"(Including customer data and email) Brown & Winters is a specialized environmental and environmental insurance law firm operating in California, serving public ...",2025-06-23,United States,United States,2025-10-21T10:02:06.567204
brownbrownpc.com,Brown & Brown PC,com,breached,"(Including data of several thousand customers) Brown & Brown, P.C., provides the comprehensive legal service and personal, life-long attention of a general prac...",2025-06-23,unknown,Unknown,2025-10-21T10:02:07.137892
axt.com,AXT,com,breached,"AXT, Inc. designs, develops, manufactures, and distributes compound and single element semiconductor substrates. The company offers indium phosphide for use in ...",2025-06-20,unknown,Unknown,2025-10-21T10:02:07.658292
huesmanschmidinsuranceagency.com,Huesman Schmid Insurance Agency,com,breached,(including client documentation and email) Huesman Schmid Insurance Agency is a company that operates in the Insurance industry. It employs 10to19 people and ha...,2025-06-17,unknown,Unknown,2025-10-21T10:02:08.949402
pressuredynamicsinternational.com,Pressure Dynamics International,com,breached,Pressure Dynamics International is a company that operates in the Industrial Machinery & Equipment industry. It employs 50to99 people and has 10Mto25M of revenu...,2025-06-17,unknown,Unknown,2025-10-21T10:02:09.408021
tracksideservices.com,Trackside Services,com,breached,"Trackside Services, Inc. manufactures and sells new and remanufactured hydraulic and pneumatic braking systems that eliminate human error, reduce car damage, mi...",2025-06-17,unknown,Unknown,2025-10-21T10:02:10.064646
claytonconstruction.com,Clayton Construction,com,breached,"Clayton Construction Company, Inc. is a leading general contractor in the southeast, boasting over forty years of experience in delivering high-quality construc...",2025-06-17,United States,United States,2025-10-21T10:02:10.577125
straitsteel.com,Strait Steel,com,breached,"Strait Steel Inc - an AISC Certified Company - specializes in structural steel fabrication with projects varying from 500 tons to 3500 tons, and single projects...",2025-06-17,Unknown,Unknown,2025-10-21T10:02:11.168268
alaffia.com,Alaffia,com,breached,"Alaffia was founded in 2003 in the Olympia, Washington garage of husband and wife team, Olowo-n'djo Tchala and Prairie Rose Hyde. Alaffia crafts popular beauty ...",2025-06-17,United States,United States,2025-10-21T10:02:11.696286
tseindustrieswhkbiosystems.com,TSE Industries & WHK Biosystems,com,breached,"TSE Industries Inc is a manufacturer of custom-molded plastics, rubber parts, and elastomers. It is based in Clearwater, Florida. Established in 2012, WHK BioSy...",2025-06-17,United States,United States,2025-10-21T10:02:12.266109
tncpa.com,TN CPA,com,breached,(including databases and email) TN CPA offers expert financial solutions and accounting services tailored for businesses in Texas. Their services include tax pl...,2025-06-17,United States,United States,2025-10-21T10:02:12.697232
cobuilder.com,coBuilder,com,breached,"(including complete databases) Cobuilder is a tech company providing digital solutions for the construction industry, aiming to enhance collaboration, digitaliz...",2025-06-17,unknown,Unknown,2025-10-21T10:02:13.320033
technologyconsultantsgroup.com,Technology Consultants Group,com,breached,"TCG Sales Technology Consultant Group New, Renew, & Used Systems, Parts We Buy or Trade in Equipment to Recycle, Reuse, or Resell",2025-06-17,unknown,Unknown,2025-10-21T10:02:13.821922
bridgehead.com,Bridgehead,com,breached,"Bridgehead Coffee specializes in exceptional organic Fairtrade coffee sourced from small-scale farmers. With over 40 years of experience, they emphasize sustain...",2025-06-17,unknown,Unknown,2025-10-21T10:02:14.450755
essbrotherssons.com,Ess Brothers & Sons,com,breached,"Ess Brothers and Sons' mission is to provide products and services, in an honorable way, that exceed the expectations and needs of each and every one of our cli...",2025-06-17,unknown,Unknown,2025-10-21T10:02:14.924733
metropoliscountryclub.com,Metropolis Country Club,com,breached,"Metropolis Country Club offers a variety of membership options and recreational activities including golf, racquets, and aquatics. The club features a golf cour...",2025-06-17,unknown,Unknown,2025-10-21T10:02:15.418763
equiplabofroid.com,Equip'LaboFROID,com,breached,"Équip'Labo FROID, se positionne en tant que leader sur le marché du matériel des métiers de bouche.",2025-06-17,unknown,Unknown,2025-10-21T10:02:16.691619
clarkmechanical.com,Clark Mechanical,com,breached,"The Clark Mechanical Company, LLC. is a privately owned, full service HVAC contracting firm. We provide a wide range of HVAC and plumbing services to commercial...",2025-06-16,unknown,Unknown,2025-10-21T10:02:17.192100
straffordcountynh.com,Strafford County NH,com,breached,"Strafford County is a county in the U.S. state of New Hampshire. As of the 2020 census, the population was 130,889. Its county seat is Dover. Strafford County w...",2025-06-16,United States,United States,2025-10-21T10:02:17.758050
beaumontproducts.com,Beaumont Products,com,breached,"Founded in 1991, Georgia, Beaumont Products Inc. manufactures consumer products designed for air care, specialty cleaning and personal care. Located in Kennesaw...",2025-05-10,United States,United States,2025-10-21T10:02:18.288526
statesmanbusinessadvisors.com,Statesman Business Advisors,com,breached,"Another law firm that not only cannot protect confidential customer data, but after the leak, instead of negotiations, happily went to receive insurance compens...",2025-05-10,unknown,Unknown,2025-10-21T10:02:18.900655
rrsfoodservice.com,RRS Foodservice,com,breached,"www.rrsfoodservice.com 201 Haley Rd, Ashland, Virginia, 23005, United States 25.94 GB Description RRS Foodservice has all of the products you need to successfully operate your Quick Serve Restaurant, Deli, or Convenience Store. We can supply you with the best products to accommodate fast service, as well as a full line of take out supplies to keep your customers on the go. Benefits of RRS Foodservice: We can accommodate all of your menu needs, including paper supplies, chemicals, and produce We offer online ordering for your convenience In addition to your sales consultant, we have a helpful inside sales support team Free rebate tracking and reporting",2025-04-23,United States,United States,2025-10-21T10:02:19.544360
condista.com,Condista,com,breached,Condista specializes in Spanish language pay TV and caters to the U.S. Hispanic and Latin American markets. They offer a diverse portfolio that includes traditi...,2025-04-18,unknown,Unknown,2025-10-21T10:02:20.097299
precisiontextiles.com,Precision Textiles,com,breached,"Founded in 1987, Totowa, New Jersey-based Precision Textiles is a global supplier of coated fabrics, nonwovens and laminates for companies in the mattress, home...",2025-04-18,United States,United States,2025-10-21T10:02:20.623481
millercaggiano.com,Miller & Caggiano,com,breached,"Miller Caggiano & Kaplan, LLP. is a law firm that was created out of a deep-rooted desire to assist the injured and disabled worker with the sometimes frustrati...",2025-04-18,unknown,Unknown,2025-10-21T10:02:21.206641
servicetradespa.com,Service Trade SpA,com,breached,Service Trade SpA is a company that operates in the Consumer Electronics & Computers Retail industry. It employs 50to99 people and has 5Mto10M of revenue. The c...,2025-04-18,unknown,Unknown,2025-10-21T10:02:21.688255
harrissteel.com,Harris Steel,com,breached,"Harris Steel Company is a steel slitting and processing manufacturer that has been operating since 1950, focusing on building long-term relationships with custo...",2025-04-18,unknown,Unknown,2025-10-21T10:02:22.276930
ossmanconsultantslimited.com,Ossman Consultants Limited,com,breached,Ossman Consultants Limited is one of London's leading accountancy firms. We are an established company with over 20 years experience in the industry. We are b...,2025-04-18,United Kingdom,United Kingdom,2025-10-21T10:02:22.821720
kraftkisarna.com,KraftKisarna,com,breached,"We at KraftKisarna mainly carry out electrical control and fire alarm installations, and maintain railways and train stations around Sweden. We also carry out ...",2025-04-18,Sweden,Sweden,2025-10-21T10:02:23.369109
pryormorrow.com,Pryor Morrow,com,breached,"Pryor Morrow is a firm specializing in architecture, engineering, and interior design, focused on serving schools, governments, and recreational facilities. Wit...",2025-04-18,unknown,Unknown,2025-10-21T10:02:23.956361
pratthomes.com,Pratt Homes,com,breached,"Check out the videos below to learn more about our home selection, design, and building processes. Our company has always been a family affair ever since Uncle ...",2025-04-18,unknown,Unknown,2025-10-21T10:02:24.457622
setpointsystems.com,Setpoint Systems,com,breached,"Setpoint Systems is a lean automation integration firm providing engineering, design, build, and controls experts for turn key custom automated solutions using ...",2025-04-18,unknown,Unknown,2025-10-21T10:02:25.069097
irisid.com,Iris ID,com,breached,"Iris ID Systems develops, markets, sells, and distributes iris recognition technology products worldwide. The company also offers access control, time and atten...",2025-04-18,unknown,Unknown,2025-10-21T10:02:25.664934
cityofgrove.com,City of Grove,com,breached,City of Grove is a company that operates in the Government industry. It employs 10to19 people and has 500Kto1M of revenue. The company is headquartered in Grove...,2025-04-18,unknown,Unknown,2025-10-21T10:02:26.223565
coultertateoka.com,Coulter & Tateoka,com,breached,"www.dac-law.com 11576 S State St Ste 503, Draper, Utah, 84020, United States 103.44 GB Description Coulter Tateoka Attorneys At Law is a law firm based in Draper, Utah, specializing in Business and Real Estate law. They offer a wide range of legal services to individuals and small businesses across Utah and the West, including estate planning and personal injury assistance. The firm is dedicated to providing personalized service to meet the legal needs of their clients and to assist in both preventive and dispute resolution strategies. With a focus on cost-effective solutions, their experienced attorneys aim to achieve the best outcomes for their clients.",2025-04-08,United States,United States,2025-10-21T10:02:26.837973
