domain,tld,status,description,ollama_country,final_country,processed_at
freedomhomecare.net,net,leaked,"We are here for you whenever you need us, for however long you need us. At Freedom Home Care and Medical Staffing, we never lose sight of the details and focus on the customer service our clients have come to expect. Since our founding in 1997, Fr",unknown,United States,2025-10-21T08:43:45.215663
inhometexas.com,com,leaked,In-Home Attendant Services offers choice in how your Medicaid funded attendant care services are delivered. We can train and manage personal assistance services attendants in your home or we can assist you to employ your own staff and direct your,United States,United States,2025-10-21T08:43:45.676529
carolinaarthritis.com,com,leaked,"Welcome to Carolina Arthritis Since its founding in 1991, Carolina Arthritis has been leading the way in the diagnosis and treatment of arthritis, musculoskeletal disorders, connective tissue diseases, autoimmune illnesses and osteoporosis. At Car",United States,United States,2025-10-21T08:43:46.090260
oklahomasleepinstitute.com,com,leaked,"The Oklahoma Sleep Institute, founded in 2003, is dedicated to providing the highest quality sleep medicine to the community. We are a comprehensive Sleep Disorder Clinic staffed by Advanced Registered Nurse Practitioners and a Board Certified Sle",United States,United States,2025-10-21T08:43:46.512507
sacredheart.southwark.sch.uk,uk,leaked,"Sacred Heart Catholic School is a vibrant and dynamic school with high expectations and great ambitions for every one of our pupils. We believe that discipline, structure and common purpose are solid foundations for success in life and education,",United Kingdom,United Kingdom,2025-10-21T08:43:46.961105
mctas.org.au,au,leaked,"mctas.org.au (respect.com.au) Providing better living in Australia for over a century As a proud not for profit organisation since 1922, Respect serves the senior community through our high standard of care and community. Our name may have changed",Australia,Australia,2025-10-21T08:43:47.384561
mnpl.com.sg,sg,leaked,"Manufacturing Network Pte Ltd (“MNPL”) was established in November 2000 in Singapore. Our main business includes the stocking, distribution and cutting of aluminium alloy plates, sheets and extrusion bars and profiles.",Singapore,Singapore,2025-10-21T08:43:47.796399
verco.co.uk,uk,leaked,"William Vere & Sons was founded in 1912 by the great-grandfather of Richard Vere, our current Managing Director was a craftsman Chair Maker who made Windsor chairs. This classic wood chair was the staple product of the area, due to the abundant su",United Kingdom,United Kingdom,2025-10-21T08:43:48.250818
carlile-group.com,com,leaked,"The Carlile Group is a collective of experts committed to advancing the science of buildings. We collaborate to assist owners in creating, enhancing, and maintaining our built environment.",Unknown,United States,2025-10-21T08:43:48.691190
gestiriego.com,com,leaked,"Desde 1985 aportando soluciones globales para la agricultura de alto rendimiento. El GRUPO GESTIRIEGO está formado por una amplia red internacional de delegaciones y distribuidoras extendidas por todo el mundo, con sede central en España. Nuestra",Spain,Spain,2025-10-21T08:43:49.080713
thermalsolutionsllc.com,com,leaked,Thermal Solutions LLC is also a proud family-owned and operated HVAC-R business. Our heating and AC repairs include new equipment installations if needed. We help by walking you through all of the issues faced with your equipment and give you step,unknown,United States,2025-10-21T08:43:50.245922
compagniedephalsbourg.com,com,leaked,"Compagnie de Phalsbourg is a real estate development, investment and management company. Founded in 1989, it ranks among the leaders of the French retail real estate market. Compagnie de Phalsbourg develops a strategy along two main axes: large pr",France,France,2025-10-21T08:43:51.672153
kh.org,org,leaked,"Kootenai Health provides a comprehensive range of medical services to patients in north Idaho, eastern Washington, Montana and the Inland Northwest at several facility locations. The main Kootenai Health campus is located in Coeur d'Alene, Idaho a",United States,United States,2025-10-21T08:43:52.149676
mtmrobotics.com,com,leaked,"As an Airbus Robotics Company, MTM Robotics is a trusted global provider of high-quality automation systems, software systems, and engineering services for the aerospace and aircraft manufacturing industries. MTM’s team of experienced Program Mana",France,France,2025-10-21T08:43:53.474051
moore-tibbits.co.uk,uk,leaked,"Moore & Tibbits is a well respected law firm, with more than 188 years of legal service in the centre of Warwick. Our reputation is based on a reliable, flexible, personal, first class service combined with the use of modern technology which is wh",United Kingdom,United Kingdom,2025-10-21T08:43:54.094374
abcor.com.au,au,leaked,"Preston General Engineering (PGE), a division of ABCOR Pty Ltd, is the industry leader in the fabrication and assembly of metal, aluminium and stainless steel parts. PGE has a strong commitment of service to provide quality products that are on ti",Australia,Australia,2025-10-21T08:43:54.643416
doneff.com,com,leaked,"From luxury apartments and exclusive active adult housing to affordable, moderate family living, Doneff Companies LLC has built and manages more than 1,056 apartment homes across central and eastern Wisconsin. Our goal is to meet or exceed our res",United States,United States,2025-10-21T08:43:55.213387
garonproducts.com,com,leaked,"For over 60 years, Garon Products, Inc. has defined what it means to be a trusted concrete coating supplier. Our top-quality concrete floor repair products and floor coatings meet the demands of even the most challenging industrial, commercial, go",United States,United States,2025-10-21T08:43:55.879355
etsolutions.com.mx,mx,leaked,"Somos una empresa 100% mexicana dedicada a la implementación de soluciones de infraestructura y seguridad en procesos de operación crítica. Nuestro equipo está formado por profesionales, especialistas y tecnicos certificados para ofrecer solucione",Mexico,Mexico,2025-10-21T08:43:56.485171
carrellblanton.com,com,leaked,"FOUR LOCATIONS. ONE FIRM. As a boutique law firm, specializing in estate planning, trust and estate administration, and elder law, we are dedicated to serving all our clients with a high level of quality, effort, and creativity. Pulling from over",unknown,United States,2025-10-21T08:43:57.005284
woodruffenterprises.com,com,leaked,Woodruff Enterprises Inc. is a rapidly growing company with roots in farming and agriculture. It was by the request of our loyal customers that we began hauling livestock with a pickup truck and a gooseneck trailer. Our formal commitment to over-t,unknown,United States,2025-10-21T08:43:58.339011
shareharris.com,com,leaked,"Share & Harris LLC is a company that operates in the Accounting industry. It employs 11-20 people and has $1M-$5M of revenue. The company is headquartered in East Brunswick, New Jersey",United States,United States,2025-10-21T08:43:58.870609
syrtech.com,com,leaked,"Syr-Tech manufactures custom perforated metal as well as roll formed metal shapes to your exact specifications. With hundreds of stock perforated metal patterns as well as a huge assortment of standard roll formed tooling, chances are we have the",unknown,United States,2025-10-21T08:43:59.552512
ussignandmill.com,com,leaked,"We typically serve two types of customers: national powerhouses looking for mass-produced, brand-consistent signage and local business owners seeking custom builds. While both have very different goals, one thing remains the same— everyone wants t",United States,United States,2025-10-21T08:44:00.061485
ds-granit.fr,fr,leaked,"DS GRANIT vous conseille et vous accompagne de A à Z dans vos projets les plus ambitieux. Notre connaissance de ce domaine nous permet de vous proposer des produits en adéquation avec votre mobilier, avec une prestation de qualité. DES PROPRIETES",France,France,2025-10-21T08:44:00.627435
nealbrothers.co.uk,uk,leaked,"Neal Brothers are a fundamental member representing the UK, Romania and Charleston USA. INPRO Export Services Ltd, is an organisation registered in England as a Consortium of Independent Export Packing and Transportation specialists with bases in",United Kingdom,United Kingdom,2025-10-21T08:44:01.123739
claimtek.com,com,leaked,"ClaimTek’s Professional Medical & Dental Billing Software Offers Advanced Features, Versatility And Flexibility. When you work with ClaimTek, you are working directly with the software developer. ClaimTek offers a professional suite of modern soft",unknown,United States,2025-10-21T08:44:02.362058
maniland.co.uk,uk,leaked,"Maniland Ltd is an active company incorporated on 5 March 2019 with the registered office located in Wembley, Greater London. Maniland Ltd has been running for 4 years. Classification: Buying and selling of own real estate (68100) Letting and oper",United Kingdom,United Kingdom,2025-10-21T08:44:02.932374
simmonsequip.com,com,leaked,"Simmons Equipment Company was honored to again be an exhibitor at the 2013 Bluefield Coal Show. With 240 exhibitors, and an estimated 5,000 visitors during the three-day show, the Bluefield show continues to be one of the nation's top regional coa",United States,United States,2025-10-21T08:44:03.439176
neuraxpharm.com,com,leaked,1 in 4 people in the world will be affected by mental or neurological disorders at some point in their lives. Roughly every family will have at least one afflicted person in the home. The wellbeing of those suffering from these disorders is at the,unknown,United States,2025-10-21T08:44:04.057266
haciendazorita.com,com,leaked,"Hacienda Zorita Wine Hotel & Spa, situado en Salamanca, es un icono en de la historia. Podemos decir que fuimos partícipes de uno de los acontecimientos históricos más decisivos: El Descubrimiento de América. Todo se remonta al año 1336, donde la",Spain,Spain,2025-10-21T08:44:04.564187
fi-tech.com,com,leaked,"Fi-Tech is “your global connection” to the leading manufacturers of complete machines or technical components used in the production of Polymer, Synthetic Fibers, Nonwovens, Textiles, Converting, Perforated Products or in Tobacco Processing.",Finland,Finland,2025-10-21T08:44:05.118270
clearwaterlandscape.com,com,leaked,"Clearwater Landscape & Nursery is an award-winning design-build company specializing in custom landscaping, outdoor living spaces, and maintenance. Based in Ijamsville, Maryland, we serve clients across the Washington, DC and Baltimore, Maryland m",United States,United States,2025-10-21T08:44:05.681873
visitingphysiciansnetwork.com,com,leaked,We are a North Texas based physician group committed to making healthcare more accessible for those individuals who are unable or have difficulty leaving their home to receive medical treatment. Visiting Physician's Network offers Internal Medicin,United States,United States,2025-10-21T08:44:06.206116
pvbfabs.com,com,leaked,"Since 2003, PVB Fabrications, Inc. (PVB) has provided quality welding and fabrication services while steadily developing into a direct-hire, multi-disciplined general contractor. PVB has the technical ability to self-perform many aspects of constr",United States,United States,2025-10-21T08:44:06.726821
wdgroup.com.my,my,leaked,"The WD Group comprises of Three Main Business handling with mining, civil construction and transportation. Its history can be traced back when Wawasan Dengkil Sdn Bhd began its operations in year 2007 with its headquarters located in Dengkil. Sinc",Malaysia,Malaysia,2025-10-21T08:44:07.234957
zero-pointorganics.com,com,leaked,"What started out as a hobby in the kitchen summer of 2016 turned into a full time passion for growing nutrient dense foods. We’re now partnered with restaurants, hotels, and country clubs throughout the Houston and College Station/Bryan Texas area",United States,United States,2025-10-21T08:44:07.771700
intechims.com,com,leaked,Specializing in Beverage Re-Packing and Fulfillment for just about anything Start increasing your production with our fully automated variety packaging services. We have the bandwidth to quickly expand and execute production capabilities as needed,unknown,United States,2025-10-21T08:44:08.980486
