domain,tld,status,description,ollama_country,final_country,processed_at
bioclimaservice.it,it,published,"Greetings! Today we are posting here the new company, ""BIO - CLIMA SERVICE S.R.L"". Company Description: Bio-Clima Service SRL is a company founded in 2002 and specialized in technical assistance, maintenance, parameter qualification and electri... 56694 fepasa.com.ar published Greetings! Today we are posting here the new company, ""F.E.P.A.S.A."". Company Description: FEPASA — Argentine poultry company operating in the field of high-quality meat and by-products since 1964, with an integrated value chain, its own breedi... 60129",Italy,Italy,2025-10-20T15:41:28.929240
51talk.com,com,published,A lot of interesting info: 1G - 51TalkActivity_backup_2025_01_25_030001_1281267.bak 1G - 51TalkNewStaff_backup_2025_01_25_030001_1281267.bak 1G - 51TalkOA_backup_2025_01_25_030001_1437541.bak 9G - 51TalkOAtask_backup_2025_01_25_030001_1281267.bak... 54360,unknown,United States,2025-10-20T15:41:29.681564
gruppocogesi.org,org,published,CO.GE.S.I. si è specializzata nel supporto tecnico – amministrativo finalizzato alla definizione delle istanze di condono edilizio e delle istanze edilizie presentate ai sensi del D.p.r. n. 380/2001. 64138,Italy,Italy,2025-10-20T15:41:30.200597
ahn.org,org,published,"Greetings! Today we are posting here the new company, ""West Penn Allegheny Health System .Inc"". Company Description: West Penn Hospital, centrally located in Pittsburgh’s Bloomfield neighborhood since 1848, is regionally and nationally known fo... 69127 jtu.com.br published Greetings! Today we are posting here the new company, ""JACAREI TRANSPORTE URBANO LTDA"". Company Description: JACAREÍ TRANSPORTE URBANO was founded with the corporate objective of providing public passenger transport services. JACAREÍ TRANSPORTE... 69064 viacaojacarei.com.br published Greetings! Today we are posting here the new company, ""JACAREI TRANSPORTE URBANO LTDA"". Company Description: JACAREÍ TRANSPORTE URBANO was founded with the corporate objective of providing public passenger transport services. JACAREÍ TRANSPORTE... 67469 gelco-s-a.com.br published Greetings! Today we are posting here the new company, ""Gelco Gelatinas do Brasil Ltda"". Company Description: Gelco Gelatinas do Brasil Ltda. is an enterprise in Brazil, with the main office in Pedreira. The enterprise currently operates in the... 91296",Brazil,Brazil,2025-10-20T15:41:31.103480
fordcountrymotors.mx,mx,published,"Greetings! Today we are posting here the new company, ""CMAMERICAS S.A. DE C.V"". Company Description: COUNTRY MOTORS specializes in the retail sale of new passenger cars and trucks. Headquarters: Avenida Américas No. 1166 Country Club, 44610... 120090",Mexico,Mexico,2025-10-20T15:41:31.608331
candelasyasociados.es,es,published,"Greetings! Today we are posting here the new company, ""CANDELAS Y ASOCIADOS S.L."". Company Description: Advice to SMEs and individuals, with areas of specialization in the fields of labor, tax, accounting, commercial, business consulting and hu... 75678 atpformosa.gob.ar published Greetings! Today we are posting here the new company, ""Administracion Tribunaria Provincal (Dirección General de Rentas de Formosa)"". Company Description: Formosa Tax Administration Headquarters: Ayacuch 810 ,Formosa, Argentina Web site:... 79511 lamejor.com.co published Greetings! Today we are posting here the new company, ""PASTEURIZADORA LA MEJOR S.A"". Company Description: By 2025, Pasteurizadora La Mejor SA will be recognized regionally and nationally as an innovative company in its products and the most pre... 79904",Argentina,Argentina,2025-10-20T15:41:32.523949
fbi.gov,gov,published,"Dear Kash Patel! I wish you Happy Birthday! I also congratulate you on your position as the ninth director of the Federal Bureau of Investigation and wish you professional success, because it will be not easy for you. You are surrounded by liars, pr... 53693",United States,United States,2025-10-20T15:41:33.055984
pittman-construction.com,com,published,"Pittman Construction Company, based in Conyers, has been a pivotal player in the construction industry for over a century. Established in 1884, the company has a rich history of contributing significantly to infrastructure development in Atlanta and... 56136",United States,United States,2025-10-20T15:41:33.590147
oyolasvegas.com,com,published,OYO Las Vegas Hotel and Casino (fka Hooters Casino Hotel) is one of the city’s best kept secrets near the Strip http://lockbit6vhrjaqzsdj6pqalyideigxv4xycfeyunpx35znogiwmojnid.onion/secret/0688c381a619c346b1ac7062a060d3c5-e1996312-5016-3d0b-aa7d-107... 55232,unknown,United States,2025-10-20T15:41:34.173780
gruppozaccaria.it,it,published,"L'archiviazione tecnica o l'accesso sono strettamente necessari al fine legittimo di consentire l'uso di un servizio specifico esplicitamente richiesto dall'abbonato o dall'utente, o al solo scopo di effettuare la trasmissione di una comunicazione su... 47049",Italy,Italy,2025-10-20T15:41:34.741320
usuhs.edu,edu,published,Uniformed Services University of the Health Sciences is a health science university and professional school of the U.S. federal government. The primary mission of the school is to prepare graduates for service to the U.S. 59631,United States,United States,2025-10-20T15:41:35.295250
topackt.com,com,published,"Topackt IT Solutions GmbH is an IT service provider in Germany. One of its products is DNSX 'Dynamic Network for Schools X', which offers central managment of machines and users across institutions. DNSX and over 70 connected schools was attacked a... 58887",Germany,Germany,2025-10-20T15:41:35.815237
vikurverk.is,is,published,"Today we are posting here the new company, ""Vikurverk ehf."". Company Description: Víkorverk is a company that sells new motorhomes, caravans, motorhomes and caravans, but we also have a large selection of used caravans. There is also a store here... 79311 viacaojacarei.com.br published Greetings! Today we are posting here the new company, ""JACAREI TRANSPORTE URBANO LTDA"". Company Description: JACAREÍ TRANSPORTE URBANO was founded with the corporate objective of providing public passenger transport services. JACAREÍ TRANSPORTE... 58107 copral.com.br published Greetings! Today we are posting here the new company, ""Copral Comercio e Navegacao LTDA"". Company Description: It was founded in 1967 and offers road transport of containerized cargo, forklift rental and port operations. We offer a new and mode... 78553 mirandaproduce.com.ve published Greetings! Today we are posting here the new company, ""ALIMENTOS SERIMAR C.A"". Company Description: National producer of healthy dairy products, specifically Greek yogurt. Headquarters: Calle San Ernesto, Quinta Rakifran N S/N, urbanización... 80293",Iceland,Iceland,2025-10-20T15:41:36.931648
telering.de,de,published,Telering Marketing GmbH & Co. KG in Mainz 49756,Germany,Germany,2025-10-20T15:41:37.362832
marmon-herrington.com,com,published,"Marmon-Herrington offers a full-range of durable axles and transfer cases for trucks and specialized vehicles, along with OEM solutions and installation kits. http://lockbit6vhrjaqzsdj6pqalyideigxv4xycfeyunpx35znogiwmojnid.onion/secret/007a0473c940a... 61212",United States,United States,2025-10-20T15:41:37.994971
acwlaw.com,com,published,"This company refused to pay the ransom. In the end, they were punished! They offered us $10,000. They made a deal for themselves! Links upd: http://lockbit6vhrjaqzsdj6pqalyideigxv4xycfeyunpx35znogiwmojnid.onion/secret/ab422366534d89fd00aeccd7e39307... 61107",unknown,United States,2025-10-20T15:41:38.721255
9fsfalcons.org,org,published,IQAF Data including F-16 literature. http://lockbit6vhrjaqzsdj6pqalyideigxv4xycfeyunpx35znogiwmojnid.onion/secret/80919a64ec950ce5f8adaf138c39ace6-89573817-f779-3b16-b404-8e630e171718/9fsfalcons.org 60395,unknown,United States,2025-10-20T15:41:39.532926
habeshacement.com,com,published,"Greetings! Today we are posting here the new company, ""HABESHA CEMENT S.C"". Company Description: ABESHA Cement Share Company HABESHA Cement Share Co. is a cement manufacturing business which was incorporated in September 2008. Headquarters:... 78936",Ethiopia,Ethiopia,2025-10-20T15:41:40.046097
ahn.org,org,published,"Greetings! Today we are posting here the new company, ""West Penn Allegheny Health System .Inc"". Company Description: West Penn Hospital, centrally located in Pittsburgh’s Bloomfield neighborhood since 1848, is regionally and nationally known fo... 71939",United States,United States,2025-10-20T15:41:40.615806
tsebrakes.com,com,published,"As a global player in the heavy-duty trucking industry, TSE utilizes an extensive technical support, sales, and distribution network to supply spring brakes for drum and disc brake applications in more than 30 countries worldwide. This global perspec... 58029",unknown,United States,2025-10-20T15:41:41.188014
lockbit4.com,com,published,"LockBit 4.0 - released! Want a lamborghini, a ferrari and lots of titty girls? Sign up and start your pentester billionaire journey in 5 minutes with us. ( often times to protect our web sites from ddos attacks we include ACCESS KEY - ADTISZRLVUM... 66566",unknown,United States,2025-10-20T15:41:42.505399
madison-home.com,com,published,"Madison Industries Inc Rug Manufacturer Gross Revenue: $47,000,000 66038 nhbg.com.co published Greetings! Today we are posting here the new company, ""Nuevo Hospital de Bocagrande"". Company Description: The New Bocagrande Hospital is a high-level comprehensive health care facility created in 2009 by a group of people with the aim of provi... 99183",unknown,United States,2025-10-20T15:41:43.084199
chcm.us,us,published,"Greetings! Today we are posting here the new company, ""College Hospital Costa Mesa"". Company Description: College Hospital Costa Mesa is a facility specializing in psychiatric and medical/surgical services as well as outpatient telehealth, and... 90643 oleopalma.com.mx published Greetings! Today we are posting here the new company, ""Oleopalma Compania Agroindustrial Cia Ltda LLC"". Company Description: Oleopalma is a company specialized in the cultivation, production, processing and marketing of palm oil and its derivat... 87381",United States,United States,2025-10-20T15:41:43.743806
kumhotire.com,com,published,"Updated The first part of the data has been published, stay tuned for updates Kumho Tire (formerly known as Samyang Tire) is a South Korean tire manufacturer. Kumho Tire was previously operated as a business unit of the Kumho Asiana Group. Since... 82888 tpgagedcare.com.au published Greetings! Today we are posting here the new company, ""TPG Aged Care"". Company Description: At TPG Aged Care, we believe that everyone has the right to be treated with dignity, respect and privacy as valued individuals in our community. That’s... 76636 bnsgroup.co.uk published Greetings! Today we are posting here the new company, ""BNS GROUP Ltd"". Company Description: Founded over twenty years ago B&S GROUP has grown into a organisation focused on serving the needs of independent pharmacy. Headquarters: London, En... 101326 oyaksgs.com.tr published Greetings! Today we are posting here the new company, ""OYAK Defense and Security Systems Inc."". Company Description: Oyak Savunma Ve Guvenlik Sistemleri A.S. is an enterprise located in Turkiye, with the main office in Ankara. The company opera... 128636",South Korea,South Korea,2025-10-20T15:41:44.720104
paybito.com,com,published,"Quick Launch Self Branded Crypto Exchange. Create an exchange theme from scratch or go headless PayBitoPro APIs. Who We Serve Our experienced teams provide comprehensive financial solutions, meticulously tailored to address the unique needs of busine... 73086",unknown,United States,2025-10-20T15:41:45.501560
efile.com,com,published,"eFile.com offers free or low-cost tax preparation and e-filing for federal and state returns. Compare eFile.com with other services, get free tax support from Taxperts, and use tax calculators and tools. 72361",United States,United States,2025-10-20T15:41:46.175879
yesmoke.eu,eu,published,"Sede legale | C.so Europa, 7 20122 Milano, Italia; Sede Operativa | Via San Giusto, 5 10036 Settimo Torinese (To), Italia; contact@yesmoke.eu +39 011 821 1653 69808",Italy,Italy,2025-10-20T15:41:46.757058
lakelandchamber.com,com,published,"The Lakeland Chamber of Commerce serves as the Catalyst for business success, Convener of leaders and influencers, and Champion for our thriving community. 69672",United States,United States,2025-10-20T15:41:47.244460
crbrandsinc.com,com,published,"CR Brands, Inc. was an American private-label consumer goods company, owned by the Beachwood, Ohio-based Resilience Capital Partners. It was formed in 2006 by Allied Capital through a merger of two of its subsidiaries, Redox Brands and ChemPro, Inc.... 67584",United States,United States,2025-10-20T15:41:47.881119
bspcr.com,com,published,"Dogecoin And Bitcoin Become Latest Additions To Robinhood Wallet After a long stretch of only offering Polygon (MATIC) in its Web3 wallet 66739 rhp.com.br published We've got information about more than 70000 patients staff contractors investors internal information 80757 policiaauxiliarcusaem.com.mx published Greetings! Today we are posting here the new company, ""POLICIAAUXILIARCUSAEM.MX"". Company Description: Government-funded private police auxiliary. Headquarters: 26-A Street No. 4, San Juan Ixtacala Industrial Subdivision, Tlalnepantla de Baz... 77406",Mexico,Mexico,2025-10-20T15:41:49.011461
nfcaa.org,org,published,"UTILITY ASSISTANCE. The Northeast Florida Community Action Agency, Inc. (NFCAA) is taking steps to maintain the health and safety of our customers, our employees, and our communities. All appointments and applications must be completed online or by m... 66237",United States,United States,2025-10-20T15:41:50.262975
ignitarium.com,com,published,"We are a leading provider of Product Engineering Services, offering expertise in Semiconductor design, Multimedia & Imaging, Connectivity, Cloud & Enterprise solutions, and Machine Learning & Deep Neural Networks. With a commitment to excellence, our... 65972",unknown,United States,2025-10-20T15:41:51.788492
fivestarproducts.com,com,published,"Markets & Applications Our innovative product solutions and unparalleled technical and engineering support make Five Star Products an outstanding choice for project success in a variety of markets and applications. Chemical Processing O&G 65704 apexbrasil.com.br published O Brasil tem uma economia aberta e diversificada. Por isso temos também um portfolio com inúmeras oportunidades de investimentos, em diversos setores produtivos: energia, petróleo e gás, saúde, agronegócio, infraestrutura, inovação entre outros. A Ap... 62280",Brazil,Brazil,2025-10-20T15:41:52.424483
bridgestoneamericas.com,com,published,"For generations to come. As we aim to improve our global sustainability practices, there are eight values driving our commitment. Follow along as Bridgestone Americas continues to make news. Since its founding in 1931, Bridgestone is committed to inn... 62570",United States,United States,2025-10-20T15:41:53.129966
dowley.com,com,published,"Security Experts! Experience, Expertise & Knowledge The Dowley relationship cycle is a well defined process for engaging clients and tailoring our services to meet their business demands OUR PROCESS Managed Detection And Response! Experience, Experti... 62000",unknown,United States,2025-10-20T15:41:54.562891
salaam.af,af,published,Data from Taliban users. 61910,Afghanistan,Afghanistan,2025-10-20T15:41:55.267443
gbricambi.it,it,published,"9 mila testate motore. 25 mila pompe e migliaia di altri prodotti: questi sono i numeri che distinguono la produzione di GB Ricambi, azienda italiana con sede a 65157",Italy,Italy,2025-10-20T15:41:55.881926
fanningfanning.com,com,published,"Engineering services for Mechanical, Electrical, Plumbing design and plant layout, HVAC, lighting, power, energy conservation and management, utilities 63087",unknown,United States,2025-10-20T15:41:57.120356
akanea.com,com,published,"AKANEA, éditeur de logiciels pour la gestion et logistique : transport routier, transport international maritime et aérien, agroalimentaire et douane. 61679 jutebag.co.uk published Jute Trading Ltd, Unit 370, Centennial Park, Centennial Avenue, Elstree Borehamwood, WD6 3TJ, UK. Phone: 01923 537 433. Email: sales@jutebag.co.uk. JuteBag Grey 61082 designintoto.com.au published Intoto is a communications agency specialising in below-the-line services across a diverse range of categories from brand identity, photography, and design 60356",United Kingdom,United Kingdom,2025-10-20T15:41:57.893070
robesoncoso.org,org,published,"Sheriff Burnis Wilkins Sheriff Burnis Wilkins is a 40+ year sworn law enforcement Officer serving with city, county, state and federal agencies. 55922",United States,United States,2025-10-20T15:41:58.574308
acdcexpress.com,com,published,"ACDC Express is a South African Electrical Retail and Wholesale Franchise, specializing in Everything Electrical. 55599 pkf.com.au published PKF Australia Limited is a member of PKF Global, the network of member firms of PKF International Limited, each of which is a separately owned legal entity and ... 54036",South Africa,South Africa,2025-10-20T15:41:59.294879
inces.com,com,published,No description available,United States,United States,2025-10-20T15:41:59.996261
inces.com,com,"Updated: 29 Aug, 2024,   15:54 UTC",51070,unknown,United States,2025-10-20T15:42:01.213623
huntongroup.com,com,published,"Hunton Group is a synergistic group of Companies focused on innovative systems, comprehensive solutions, and Trane's high-quality products. 50738",United States,United States,2025-10-20T15:42:02.413535
hphood.com,com,published,"Products: Milk, Ice Cream, Cottage Cheese, Sour Cream, Cream Eggnog, Recipes, Store Locator, Girl drinking Hood Milk, Girl drinking Hood milk. 51075",unknown,United States,2025-10-20T15:42:03.161582
bridgestoneamericas.com,com,published,"Since its founding in 1931, Bridgestone is committed to innovating improvements for the world around us. We strive for what sets new standards. 50782",United States,United States,2025-10-20T15:42:04.502139
albanybank.com,com,published,Personal Banking Business Internet Banking Promo Business Internet Banking Managing your business finances is easier than ever! 50910,United States,United States,2025-10-20T15:42:05.387765
sampoernaagro.com,com,published,"Founded in 1993 and headquartered in South Sumatra, Indonesia, PT Sampoerna Agro Tbk is a palm oil manufacturer. They engage in the production of p... 50864 tdsb.on.ca published The Toronto District School Board, also known under the acronym of TDSB, is the largest school Board in Canada and the fourth largest in North America 50555 alconca.com.ve published Granja Alconca CA is a company that operates in the Animals & Livestock industry. It employs 20to49 people and has 1Mto5M of revenue 50607",Indonesia,Indonesia,2025-10-20T15:42:06.189262
ultragasmexico.com,com,published,"Ultragas México Organization began in 2013 by acquiring the companies Gas del Valle de Tollocan, SA de CV, Distribuidora Mexicana de Gas LP SA de CV and Compañía de Gas del Centro, SA de CV. 54098",Mexico,Mexico,2025-10-20T15:42:07.798142
taylorcrane.com,com,published,"Taylor Crane & Rigging, Inc. is committed to providing our clients with the very best in service, equipment and personnel. With this commitment, we will satisfy our clients’ needs in a safe, competitive, and responsive manner. 54460 soken-ce.co.jp published Since its founding in 1948, the Soken Kagaku Group has developed unique technologies in fields such as home appliances, automobiles, and building materials, based on the founding spirit of ``Let's be the best company, no matter how small, and contrib... 54548",United States,United States,2025-10-20T15:42:08.691099
sitrack.com,com,published,"By using our services, you’ll be able to control and ensure the welfare of your capital, reducing costs, observing and making its operation effective. 52853 shinwajpn.co.jp published Supported by engineering power Shinwa is supported by the engineering power of trading company and manufacturer functions.A solution partner that responds to manufacturing issues. 51730",Japan,Japan,2025-10-20T15:42:09.762278
mogaisrael.com,com,published,"Import and export of various high-quality products for the food and chemical industry with Kashrut Le’Mehadrin, such as dried vegetables, leaves, spices and food additives 50858",Israel,Israel,2025-10-20T15:42:11.107377
maximumresearch.com,com,published,"MAXimum Research, Inc. is a market research firm with over 300 CATI stations. Our facility houses a100 CATI station phone room, in addition to 200+ remote agents across the US. Based in Southern New Jersey, just minutes from Philadelphia, MAXimum Res... 50702",United States,United States,2025-10-20T15:42:11.781962
kioti.com,com,published,"Since the first KIOTI tractor was introduced in the U.S. in 1986, KIOTI has aligned itself among the nation’s leading tractor brands. KIOTI remains steadfastly committed to the advancement and growth of tractor technology, value and service. And in t... 50323",United States,United States,2025-10-20T15:42:12.494704
indoramaventures.com,com,published,Indorama Ventures is a world-class sustainable chemical company making great products for society. 50073,Indonesia,Indonesia,2025-10-20T15:42:14.224478
hatsinteriors.com,com,published,"Hats Interiors is a family-owned business specializing in high-quality, custom furniture, joinery, and fit-outs. Our designs blend modern style with timeless craftsmanship, all meticulously created in our factory with a focus on sustainability and et... 49332 grc-c.co.il published Company G. R. si. Consultants Ltd. (formerly Audit Plus Ltd.) has been operating since 2007 in the areas of internal audit, internal control and risk management and assessment. The company employs lawyers, economists, internal auditors and profession... 49318 eif.org.na published The Environmental Investment Fund (EIF) is a fund created by Act 13 of 2001 of the Parliament of the Republic of Namibia with the overall aim of continuing this great legacy by supporting individuals, projects and communities that ensure the sustaina... 49026",Israel,Israel,2025-10-20T15:42:15.248485
coreengg.com,com,published,"Core Engineering LLC was founded in 2007, in Corpus Christi, TX. We have grown over the last few years, expanding our services over several states. We are a full-service engineering firm with a multi-discipline team of highly-motivated professionals. 47934 champion.com.co published International freight forwarding & logistics providers 47201",United States,United States,2025-10-20T15:42:16.232439
centralepaysanne.lu,lu,published,"Founded in 1944, the Central Paysanne Luxembourgeoise, the largest and oldest professional organisation for farmers, winemakers and gardeners, is headed by a nine-member board 47033",Luxembourg,Luxembourg,2025-10-20T15:42:18.595162
carlfischer.com,com,published,Helping educators and musicians 46429,unknown,United States,2025-10-20T15:42:19.888727
auburnpikapp.org,org,published,Our chapter at Auburn University implements the standards and executes the challenges set forth by the PI KAPPA PHI fraternity in order to develop exceptionally educated and modern leaders. 44450,United States,United States,2025-10-20T15:42:20.495192
anwaltskanzlei-kaufbeuren.de,de,published,"HERZLICH WILLKOMMEN IN DER KANZLEI PVZ POHL, VÖLSCH, ZINNER. Wir sind eine seit 1994 in Kaufbeuren ansässige Kanzlei. Unsere Rechtsanwälte beraten und vertreten sowohl Privatpersonen, mittelständische Unternehmen als auch lokale Gebietskörperschaften... 45026",Germany,Germany,2025-10-20T15:42:21.150854
udhaiyamdhall.com,com,published,"Shri Lakshmi Agro Foods Private Limited is one of the leading food processing companies in India, having its state of the art processing unit at Thiruvotriyur Chennai in about 3.15 acres of land. It has a strong presence in the market for the past 85... 44351",India,India,2025-10-20T15:42:21.742551
tetco.com,com,published,"TETCO, Inc. is a San Antonio-based company, owned and operated by the Tom E. Turner family for more than 60 years. Food service franchises, petrochemical distribution, and heavy truck and trailer repairs are the company’s primary revenue sources, wit... 44508",United States,United States,2025-10-20T15:42:22.271697
ipsenlogistics.com,com,published,"We are a holding company with interests in the field of international transport services, including industrial export packing. 43799",unknown,United States,2025-10-20T15:42:23.013172
inouemfg.com,com,published,"INOUE MFG., INC. 43876",unknown,United States,2025-10-20T15:42:23.627220
ciasc.mx,mx,published,"Our firm Consultants and Researchers in Administration, S.C. was founded in 1993. Today we specialize in Credit Investigation and Portfolio Recovery services through extrajudicial and judicial means 43930",Mexico,Mexico,2025-10-20T15:42:24.295374
cdtmedicus.pl,pl,published,"The Medicus Diagnostic and Therapy Center has 19 specialized clinics where patients can receive professional advice from doctors. specialists, and thereby take care of the health of yourself and your loved ones 43614",Poland,Poland,2025-10-20T15:42:25.139345
bildco.ae,ae,published,"Abu Dhabi National Building Materials Co. 43399 vitema.vi.gov published FEMA, VITEMA Complete Exercises to Prepare for Hurricane Season. From May 20 to May 24, the Government of the Virgin Islands and federal partners participated in a series of response and recovery workshops along with a hurricane readiness response ex... 43999",United Arab Emirates,United Arab Emirates,2025-10-20T15:42:27.577110
vinatiorganics.com,com,published,Vinati Organics Limited (VOL) is one of the largest manufacturers of specialty chemical and organic intermediaries with a sustained market presence spanning over 35 countries in the world. 43270,India,India,2025-10-20T15:42:28.266815
vikrantsprings.com,com,published,Vikrant Springs is a leading manufacturer and exporter of custom made MULTI-LEAF and PARABOLIC SPRINGS with an experience of over 35 years. 43206,India,India,2025-10-20T15:42:28.827854
unisi.it,it,published,"Il sito ufficiale dell'Università di Siena offre informazioni su corsi, eventi, orientamento e servizi. Scopri le novità, le iniziative e le opportunità per studenti e docenti. 42424",Italy,Italy,2025-10-20T15:42:29.449704
acsistemas.com,com,published,"View Antonio Y Columbiano Informatica (www.acsistemas.com) location in Andalusia, Spain , revenue, industry and description. Find related and similar companies as well as employees by title and much more. 48815",Spain,Spain,2025-10-20T15:42:30.074594
thaiagri.com,com,published,"With our high quality product, TAF has customers in over 70 countries span over 6 continents, namely America, Europe, Middle East, Africa, Asia, Oceania. Quality goods are shipped through modern and punctual transportation channels. 41568 snapethorpeprimary.co.uk published WELCOME. Welcome to Snapethorpe Primary School. Since we started at Snapethorpe in Autumn 2023 Ms. Lewis - the Deputy Head Teacher - and I have experienced a very warm and welcoming school and we want everyone who already attends or arrives in Snapet... 42074",unknown,United States,2025-10-20T15:42:30.883326
sislocar.com,com,published,"integrated logistics services. We offer tailored solutions that encompass customs warehouses, international transportation, and customs services. Our modern and secure warehouses, along with our extensive network of international partners, ensure pun... 41077",unknown,United States,2025-10-20T15:42:32.215145
ondozabal.com,com,published,"Internacionalización y diversificación de sectores. Ondozabal Group ha evolucionado en el mercado en los últimos años, abriendo sus fronteras y apoyando el crecimiento internacional. Con más de un 32% de tasa de exportación, estamos presentes en vari... 41084",unknown,United States,2025-10-20T15:42:32.897288
museu-goeldi.br,br,published,"O Museu Paraense Emílio Goeldi é uma instituição de pesquisa vinculada ao Ministério da Ciência, Tecnologia, Inovações e Comunicações do Brasil. Está localizado na cidade de Belém, Estado do Pará, região amazônica. Desde sua fundação, em 1866, suas a... 40392",Brazil,Brazil,2025-10-20T15:42:33.410036
mpeprevencion.com,com,published,"Gestión integral de la prevención. GRUPO MPE ofrece, como Servicio de Prevención de Riesgos Laborales, un Servicio Integral a todos sus. clientes. Para ello, cuenta con personal técnico altamente cualificado en las especialidades de. Seguridad en el... 40711 kowessex.co.uk published Kings is a high achieving 13-18 years school. Exam results are consistently high year-on-year, with students making outstanding progress from Key Stage 2 to 4, and after the Sixth Form many students go on to top universities. Accolades and league tab... 38846",unknown,United States,2025-10-20T15:42:34.251936
hotel-ostella.com,com,published,"The 4-star Ostella hotel is a real jewel, open all year round, comfortable and spacious rooms and luxury suites, wellness center, gym, jacuzzi pool, restaurant, lounge area and bar. For a relaxing stay on the Island of Beauty. 38725",Germany,Germany,2025-10-20T15:42:34.709237
hetero.com,com,published,"At Hetero, our every action seeks to inspire human belief in accessibility and affordability of life-saving medicines across the world. With unparalleled strengths in pharmaceutical research, manufacturing, and marketing, we are positioned to serve p... 38148",India,India,2025-10-20T15:42:35.291751
garage-cretot.fr,fr,published,"Garage Cretot expert du véhicule professionnels : camion, semi-remorque, utilitaires plus de quarante années d'expertise à votre service 38262",France,France,2025-10-20T15:42:35.830206
essinc.com,com,published,"Long-duration Energy Storage | ESS, Inc. Accelerates Renewables. Long-duration storage is critical to create a decarbonized grid powered by renewable energy. ESS solutions, available now, enable the growing penetration of renewables and can deliver c... 37634",unknown,United States,2025-10-20T15:42:36.485171
equinoxinc.org,org,published,"Equinox serves adolescents and adults struggling with chemical dependency; survivors of domestic violence and their children as well as elderly victims of domestic abuse; adolescents and adults, along with their families, who are living with mental i... 37686",unknown,United States,2025-10-20T15:42:37.083288
