domain,tld,status,description,date,source,location,ollama_country,final_country,processed_at
Favbet Group,ua uk,READ_,Unethical Business During War,Feb-10-2025 13:05,WikileaksV2,UA UK,unknown,UA UK,2025-10-21T10:12:07.754742
Naughty America,usa,READ_,The biggest leak in the porn industry.,Feb-04-2025 14:19,WikileaksV2,USA,USA,USA,2025-10-21T10:12:08.103323
AKRAN Intellectual Property,it,READ_,Accomplices of consumer terrorists,Feb-03-2025 14:55,WikileaksV2,IT,unknown,IT,2025-10-21T10:12:08.402091
Parish Attorney's Office of East Baton Rouge Parish,la usa,READ_,Real the True detective,Jan-31-2025 19:24,WikileaksV2,LA USA,USA,USA,2025-10-21T10:12:08.756719
DieTech North America,usa,READ_,A Bad Deal for GM and Tesla,Jan-31-2025 00:02,WikileaksV2,USA,USA,USA,2025-10-21T10:12:09.101380
Compliance Solutions Inc,fl usa,READ_,Nothing is Certain Except Leaks and Taxes,Jan-26-2025 11:50,WikileaksV2,FL USA,USA,USA,2025-10-21T10:12:09.406075
Colonial Behavioral Health,unknown,READ_,A Wake-Up Call for the U.S. Healthcare System,Jan-24-2025 11:32,WikileaksV2,unknown,unknown,unknown,2025-10-21T10:12:10.360909
Câmara de Chaves,portugal,READ_,Data Leak Could Sink Local Administration,Jan-22-2025 20:44,WikileaksV2,Portugal,Portugal,Portugal,2025-10-21T10:12:10.686364
Browne McGregor Architects,tx usa,READ_,Dead Duck in Architecture,Jan-20-2025 17:54,WikileaksV2,TX USA,USA,USA,2025-10-21T10:12:10.972895
Billaud-Segeba,fr,READ_,We’ll Have to Say Goodbye to french Croissants and Cheese?,Jan-18-2025 16:42,WikileaksV2,FR,France,France,2025-10-21T10:12:11.292973
Bertelkamp Automation,tn usa,READ_,Open Doors to the U.S. Industrial Sector,Jan-15-2025 12:06,WikileaksV2,TN USA,USA,USA,2025-10-21T10:12:11.641986
Axiom Constructors,unknown,READ_,A Sensational Collapse,Jan-14-2025 11:22,WikileaksV2,unknown,unknown,unknown,2025-10-21T10:12:11.992021
Arch Street Capital Advisors,unknown,READ_,A Red Flag for Investors,Jan-11-2025 11:10,WikileaksV2,unknown,unknown,unknown,2025-10-21T10:12:12.901724
Prinsotel,es,READ_,"No security, no privacy",Dec-08-2024 12:43,WikileaksV2,ES,Spain,Spain,2025-10-21T10:12:13.272704
Unique relations,pr austria,READ_,Reputation cleaning and lobbying,Nov-28-2024 21:37,WikileaksV2,PR Austria,Austria,Austria,2025-10-21T10:12:13.678249
Thonburi Energy Storage Systems,thailand,READ_,The global battery problem for Mercedes-Benz,Nov-27-2024 23:31,WikileaksV2,Thailand,Thailand,Thailand,2025-10-21T10:12:14.081582
Tholen Elektrotechnik,germany,READ_,Light up all the secrets,Nov-02-2024 17:29,WikileaksV2,Germany,Germany,Germany,2025-10-21T10:12:14.457331
Summer Fresh Salads Incorporated,canada,READ_,Unhealthy dangerous food,Nov-02-2024 17:12,WikileaksV2,Canada,Canada,Canada,2025-10-21T10:12:14.834525
Oppida Estates Limited,london,READ_,We pretend it's normal.,Nov-02-2024 16:56,WikileaksV2,London,United Kingdom,United Kingdom,2025-10-21T10:12:15.349291
The North Cottage Program,ma usa,READ_,A deep hole in addiction treatment,Oct-20-2024 13:00,WikileaksV2,MA USA,USA,USA,2025-10-21T10:12:15.700765
NEAFIDI,italy,READ_,Corporate raid for businessmen,Oct-20-2024 12:36,WikileaksV2,ITALY,Italy,Italy,2025-10-21T10:12:16.165127
McSweeney / Langevin,mn usa,READ_,Hype in the law,Oct-16-2024 15:35,WikileaksV2,MN USA,USA,USA,2025-10-21T10:12:16.549430
Maier Sanitär-Technik,germany,READ_,All the secrets of a family business.,Oct-15-2024 13:38,WikileaksV2,Germany,Germany,Germany,2025-10-21T10:12:17.013069
MACCARINELLI GRUPPO,it,READ_,Formula 1 key,Oct-14-2024 12:59,WikileaksV2,IT,Italy,Italy,2025-10-21T10:12:17.493441
Loran srl,italy,READ_,Why is the healthcare sector hacked so often?,Oct-11-2024 11:53,WikileaksV2,Italy,Italy,Italy,2025-10-21T10:12:17.974767
Thonburi Energy Storage Systems,thailand,READ_,The global battery problem for Mercedes-Benz,Nov-27-2024 23:31,WikileaksV2,Thailand,Thailand,Thailand,2025-10-21T10:12:18.514129
Tholen Elektrotechnik,germany,READ_,Light up all the secrets,Nov-02-2024 17:29,WikileaksV2,Germany,Germany,Germany,2025-10-21T10:12:18.931699
Summer Fresh Salads Incorporated,canada,READ_,Unhealthy dangerous food,Nov-02-2024 17:12,WikileaksV2,Canada,Canada,Canada,2025-10-21T10:12:19.384527
Oppida Estates Limited,london,READ_,We pretend it's normal.,Nov-02-2024 16:56,WikileaksV2,London,United Kingdom,United Kingdom,2025-10-21T10:12:19.804172
The North Cottage Program,ma usa,READ_,A deep hole in addiction treatment,Oct-20-2024 13:00,WikileaksV2,MA USA,USA,USA,2025-10-21T10:12:20.250241
NEAFIDI,italy,READ_,Corporate raid for businessmen,Oct-20-2024 12:36,WikileaksV2,ITALY,Italy,Italy,2025-10-21T10:12:20.732793
McSweeney / Langevin,mn usa,READ_,Hype in the law,Oct-16-2024 15:35,WikileaksV2,MN USA,USA,USA,2025-10-21T10:12:21.093361
Maier Sanitär-Technik,germany,READ_,All the secrets of a family business.,Oct-15-2024 13:38,WikileaksV2,Germany,Germany,Germany,2025-10-21T10:12:21.508172
MACCARINELLI GRUPPO,it,READ_,Formula 1 key,Oct-14-2024 12:59,WikileaksV2,IT,Italy,Italy,2025-10-21T10:12:22.018053
Loran srl,italy,READ_,Why is the healthcare sector hacked so often?,Oct-11-2024 11:53,WikileaksV2,Italy,Italy,Italy,2025-10-21T10:12:22.502970
Municipalité La Guadeloupe,canada,READ_,Deep budget hole and potential theft,Sep-05-2024 12:12,WikileaksV2,Canada,Canada,Canada,2025-10-21T10:12:23.012801
MORDFIN GROUP,ny,READ_,Dirty jewelry.,Aug-31-2024 13:03,WikileaksV2,NY,unknown,United States,2025-10-21T10:12:23.618291
France buries Liberté.,unknown,READ_,Why the arrest of Pavel Durov is another nail in the coffin of anonymity on the Internet.,Aug-27-2024 13:34,WikileaksV2,unknown,France,France,2025-10-21T10:12:24.138813
Jean Nouvel design,unknown,READ_,Immersion in luxury,Aug-27-2024 13:23,WikileaksV2,unknown,unknown,unknown,2025-10-21T10:12:24.494979
Neurology Center of Nevada,unknown,READ_,A headache for patients.,Aug-22-2024 16:06,WikileaksV2,unknown,unknown,unknown,2025-10-21T10:12:25.128329
Intuitae,paris,READ_,A bad friend to a rich family.,Aug-12-2024 15:11,WikileaksV2,Paris,France,France,2025-10-21T10:12:25.615882
"Precision Flange and Machine, Houston",tx,READ_,"Small production, big problem.",Aug-11-2024 13:00,WikileaksV2,TX,USA,USA,2025-10-21T10:12:26.073706
Mitchell County,north carolina,READ_,You have no idea WHAT they know!,Aug-05-2024 13:01,WikileaksV2,North Carolina,United States,United States,2025-10-21T10:12:26.475824
Gropper & Nejat,pllc,READ_,"Attorney-client privilege? We don't know what it is! (caution, shocking content)",Aug-04-2024 14:50,WikileaksV2,PLLC,unknown,PLLC,2025-10-21T10:12:27.073917
Charles A. Evans,md,READ_,Life- and health-threatening doctor,Aug-04-2024 14:34,WikileaksV2,MD,unknown,MD,2025-10-21T10:12:27.657576
Sippex MEDIPPEX GROUP,unknown,READ_,Sippex employees have passed a vote of economic distrust of the company's management.,Aug-04-2024 14:04,WikileaksV2,unknown,unknown,unknown,2025-10-21T10:12:28.157669
Inforius,belgium,READ_,A dangerous IT service provider for public authorities,Aug-04-2024 13:42,WikileaksV2,belgium,Belgium,Belgium,2025-10-21T10:12:28.667376
CONSEGUROS,unknown,READ_,Insurance without protection,Aug-04-2024 13:25,WikileaksV2,unknown,unknown,unknown,2025-10-21T10:12:29.923228
"St Vincent de Paul Catholic School, Peoria",il,READ_,Prayers did not help.,Aug-04-2024 13:05,WikileaksV2,IL,United States,United States,2025-10-21T10:12:30.426227
A&A Industrial Piping,ny,READ_,Terrorist threat to the city.,Aug-04-2024 12:22,WikileaksV2,NY,United States,United States,2025-10-21T10:12:30.834627
GOLDEN ACRE Home and Garden Sentre Ltd.,unknown,READ_,A toxic business in every sense,Jul-01-2024 12:05,WikileaksV2,unknown,unknown,unknown,2025-10-21T10:12:31.391470
Consulting Radiologues,ltd.,READ_,Catastrophically transparent personal information.,Jun-27-2024 15:13,WikileaksV2,Ltd.,unknown,Ltd.,2025-10-21T10:12:32.577351
Pathology services provider Synnovis,unknown,READ_,What secrets were they trying to hide?,Jun-23-2024 18:09,WikileaksV2,unknown,unknown,unknown,2025-10-21T10:12:32.952618
Qilin. Who are they?,unknown,READ_,Interview. Who are they? Why are they doing all this? Money? Popularity? Revenge?,Jun-19-2024 20:17,WikileaksV2,unknown,unknown,unknown,2025-10-21T10:12:33.547549
Hotel Continental,unknown,READ_,"The guests are promised the highest level of service and complete privacy of their vacation. However, this is not true.",Jun-17-2024 08:34,WikileaksV2,unknown,unknown,unknown,2025-10-21T10:12:33.911267
The Wacks Law Group,unknown,READ_,Your family secrets will be revealed to everyone.,Jun-17-2024 06:51,WikileaksV2,unknown,unknown,unknown,2025-10-21T10:12:34.355536
Corinth Coca-Cola Bottling Works,unknown,READ_,All the secrets of a global corporation.,Jun-10-2024 15:52,WikileaksV2,unknown,unknown,unknown,2025-10-21T10:12:34.810734
W.P.J. McCarthy and Company,unknown,READ_,A very poor choice of realtor partner,Jun-08-2024 15:25,WikileaksV2,unknown,unknown,unknown,2025-10-21T10:12:35.233329
Clarity Water Technologies,llc,READ_,"They may be making the water clean, but the inside of the company is messy.",Jun-02-2024 19:29,WikileaksV2,LLC,United States,United States,2025-10-21T10:12:35.764875
Burnham Wood Charter schools - corruption and nepotism.,unknown,READ_,"With this message we say hello to the Superintendent of Burnham Wood Charter Schools, Dr. Joe E. Gonzales.",May-29-2024 20:13,WikileaksV2,unknown,unknown,unknown,2025-10-21T10:12:36.456265
The Watergate Hotel is a disaster of international proportions.,unknown,READ_,"The Watergate Hotel is a disaster of international proportions. Two kilometers from the White House there is one of the best hotels in the United States, the Luxury Washington D.C. Hotel The Watergate Hotel",May-24-2024 15:03,WikileaksV2,unknown,United States,United States,2025-10-21T10:12:37.010445
The Weinstein Firm,unknown,READ_,Thousands of the weinshtein firm's client files have ended up in the public domain because of the attorneys' inattention and stupidity.,May-21-2024 15:19,WikileaksV2,unknown,unknown,unknown,2025-10-21T10:12:37.633825
Williams RDM. Substandard Components For The F-16,unknown,READ_,A private company in Texas supplied substandard components for the F-16. Secret DCMA and DLA documents have been published.,May-17-2024 15:53,WikileaksV2,unknown,United States,United States,2025-10-21T10:12:38.134144
Big Issue Group,unknown,READ_,The scandalous truth about the Big Issue Foundation.,May-14-2024 15:52,WikileaksV2,unknown,United Kingdom,United Kingdom,2025-10-21T10:12:38.690978
ASZ GmbH & Co,unknown,READ_,"Today, data from ASZ GmbH & Co, a company specializing in occupational health and safety, has come to our attention. ASZ GmbH & Co experienced a serious cyberattack that resulted in the company's confidential data being compromised and available in the public domain. This incident poses a serious threat to both the company itself and its customers.",May-10-2024 12:27,WikileaksV2,unknown,Germany,Germany,2025-10-21T10:12:39.344811
Ascentia Group Pty Ltd,unknown,READ_,"Ascentia Group Pty Ltd, a financial planning company, has today been the victim of a cyber-attack that has resulted in its clients' data being made publicly available. This incident poses a serious threat to the privacy and security of financial data.",May-09-2024 16:45,WikileaksV2,unknown,Australia,Australia,2025-10-21T10:12:39.864151
CORTEL Technology Solutions,unknown,READ_,"News of a cyberattack on CORTEL Technologies, a company specializing in satellite television, has caused a wave of anxiety and concern among its customers. In this article, we will examine the scope of the incident and its impact on the security of users' personal information and their home addresses, as well as their payment information.",May-08-2024 14:22,WikileaksV2,unknown,unknown,unknown,2025-10-21T10:12:40.298426
Conley & Wirick,p.a,READ_,Shocking news has rocked the legal services world: the firm of Conley & Wirick has been subjected to a cyber-attack that compromised all of the firm's data and made it available online. The incident raised serious concerns about the security of confidential information and raised questions about cybersecurity in the legal industry.,May-07-2024 13:22,WikileaksV2,P.A,United States,United States,2025-10-21T10:12:40.868203
AWM Global Advisors,unknown,READ_,"AWM Global Advisors is an independent, fee based, Registered Investment Advisor,locatedin San Diego, California.AWMis dedicated to providing comprehensivewealth management solutions and portfolio management services to high net worth investorsand businesses",May-06-2024 12:47,WikileaksV2,unknown,United States,United States,2025-10-21T10:12:41.386514
WHO ARE WE?,unknown,READ_,"WikiLeaks2 — we are the followers of Julian Assange’s case, which has lived, lives and will live despite all the difficulties faced by the international organization WikiLeaks.",Apr-26-2024 21:32,WikileaksV2,unknown,United Kingdom,United Kingdom,2025-10-21T10:12:41.871166
CONTACTS OF LEGAL ORGANIZATIONS,unknown,READ_,"If your Organization is among the data posted, you can contact a law company for assistance.",Apr-26-2024 21:12,WikileaksV2,unknown,unknown,unknown,2025-10-21T10:12:42.318555
LAW ENFORCEMENT CONTACTS,unknown,READ_,"Everyone is welcome to help us fight against injustice. If you have found data in documents that violate any laws, please report it to the necessary law-enforcement organizations.",Apr-26-2024 20:55,WikileaksV2,unknown,unknown,unknown,2025-10-21T10:12:42.808587
BAXTER COUNTY SHERIFF. John Montgomery.,unknown,READ_,"We say hello to Sheriff John Montgomery of Mountain Home Township, Arkansas. Sheriff, you've been on the job since 2005. Isn't it time for a vacation? You like little kids, don't you, Sheriff?",Apr-22-2024 07:53,WikileaksV2,unknown,United States,United States,2025-10-21T10:12:43.361835
CARDIOVASCULAR CONSULTANTS. PATIENT PERSONAL DATA,unknown,READ_,"The consequences for Cardiovascular Consultants Hospital following the leak of sensitive patient data can be serious and include: Reputational damage: Leakage of confidential patient medical data can seriously undermine public confidence in the hospital. This could lead to loss of patients, physician attrition, and a poor reputation, which in turn could negatively impact the hospital’s financial position and long-term sustainability.",Apr-22-2024 07:22,WikileaksV2,unknown,unknown,unknown,2025-10-21T10:12:43.987580
WACOAL CONFIDENTIAL INFORMATION HAS BEEN MADE PUBLICLY AVAILABLE,unknown,READ_,"We got our hands on WACOAL’s data. Confidential information of its customers including personal data, financial information and purchase history was leaked. This major data breach has caused serious concern among customers and information security experts.",Apr-22-2024 07:16,WikileaksV2,unknown,Japan,Japan,2025-10-21T10:12:44.653144
EYEDOCS OTTAWA,unknown,READ_,"Sensitive patient data of a well-known eyeDOCS hospital in Canada has been leaked. The personal medical information of thousands of patients, including diagnoses, prescriptions, test results, and other sensitive data, became publicly available.",Apr-19-2024 20:33,WikileaksV2,unknown,Canada,Canada,2025-10-21T10:12:45.190114
