domain,tld,status,description,ollama_country,final_country,processed_at
nowinc.ca,ca,published,-,Canada,Canada,2025-10-21 10:08:04
benbecker.eu,eu,published,-,Unknown,Unknown,2025-10-21 10:08:04
beinoglou.gr,gr,published,-,Greece,Greece,2025-10-21 10:08:04
cinema1.ca,ca,published,-,Canada,Canada,2025-10-21 10:08:04
connexion-informatique.fr,fr,published,-,France,France,2025-10-21 10:08:04
cps.k12.il.us,us,published,-,United States,United States,2025-10-21 10:08:04
editel.eu,eu,published,-,Unknown,Unknown,2025-10-21 10:08:04
phononet.de,de,published,-,Germany,Germany,2025-10-21 10:08:04
unicred.com.ar,ar,published,-,Argentina,Argentina,2025-10-21 10:08:04
enteratek.mx,mx,published,-,Mexico,Mexico,2025-10-21 10:08:04
essexpowerlines.ca,ca,published,-,Canada,Canada,2025-10-21 10:08:04
eqlogistics.us,us,published,-,United States,United States,2025-10-21 10:08:04
galatechnology.co.uk,uk,published,-,United Kingdom,United Kingdom,2025-10-21 10:08:04
gardnerhealthservices.org,org,published,-,United States,United States,2025-10-21 10:08:04
objectif-emballages.fr,fr,published,-,France,France,2025-10-21 10:08:04
homedepot.com.mx,mx,published,-,Mexico,Mexico,2025-10-21 10:08:04
intercharge.de,de,published,-,Germany,Germany,2025-10-21 10:08:04
innovador.com.mx,mx,published,-,Mexico,Mexico,2025-10-21 10:08:04
iusa.mx,mx,published,-,Mexico,Mexico,2025-10-21 10:08:04
idpe.co,co,published,-,Colombia,Colombia,2025-10-21 10:08:04
magtarsales.ca,ca,published,-,Canada,Canada,2025-10-21 10:08:04
nmr.co.uk,uk,published,-,United Kingdom,United Kingdom,2025-10-21 10:08:04
partner.ro,ro,published,-,Romania,Romania,2025-10-21 10:08:04
rev.de,de,published,-,Germany,Germany,2025-10-21 10:08:04
royallemkes.nl,nl,published,-,Netherlands,Netherlands,2025-10-21 10:08:04
senao.com.tw,tw,published,-,Taiwan,Taiwan,2025-10-21 10:08:04
sea-delight.ca,ca,published,-,Canada,Canada,2025-10-21 10:08:04
triple8.ca,ca,published,-,Canada,Canada,2025-10-21 10:08:04
tillsonburghydro.ca,ca,published,-,Canada,Canada,2025-10-21 10:08:04
harvard.edu,edu,published,-,United States,United States,2025-10-21 10:08:04
wits.ac.za,za,published,-,South Africa,South Africa,2025-10-21 10:08:04
