"Gabon","GAB","Population, total",2538952
"Qatar","QAT","Population, total",2857822
"Pacific island small states","PSS","Population, total",2722467
"Gambia, The","GMB","Population, total",2759988
"Albania","ALB","Population, total",2714617
"Jamaica","JAM","Population, total",2839175
"Lithuania","LTU","Population, total",2888055
"Namibia","NAM","Population, total",3030131
"Armenia","ARM","Population, total",3033500
"Bosnia and Herzegovina","BIH","Population, total",3164253
"Puerto Rico (US)","PRI","Population, total",3203295
"Uruguay","URY","Population, total",3386588
"Eritrea","ERI","Population, total",3535603
"Mongolia","MNG","Population, total",3524788
"Georgia","GEO","Population, total",3673850
"Croatia","HRV","Population, total",3866300
"Panama","PAN","Population, total",4515577
"Caribbean small states","CSS","Population, total",4539060
"Kuwait","KWT","Population, total",4973861
"Mauritania","MRT","Population, total",5169395
"Oman","OMN","Population, total",5281538
"Costa Rica","CRI","Population, total",5129910
"Central African Republic","CAF","Population, total",5330690
"West Bank and Gaza","PSE","Population, total",5289152
"New Zealand","NZL","Population, total",5338500
"Ireland","IRL","Population, total",5380257
"Slovak Republic","SVK","Population, total",5422069
"Liberia","LBR","Population, total",5612817
"Norway","NOR","Population, total",5572272
"Finland","FIN","Population, total",5637214
"Lebanon","LBN","Population, total",5805962
"Singapore","SGP","Population, total",6036860
"Denmark","DNK","Population, total",5976992
"Congo, Rep.","COG","Population, total",6332961
"El Salvador","SLV","Population, total",6338193
"Bulgaria","BGR","Population, total",6444366
"Serbia","SRB","Population, total",6587202
"Nicaragua","NIC","Population, total",6916140
"Paraguay","PRY","Population, total",6929153
"Kyrgyz Republic","KGZ","Population, total",7224614
"Libya","LBY","Population, total",7381023
"Turkmenistan","TKM","Population, total",7494498
"Hong Kong SAR, China","HKG","Population, total",7524100
"Lao PDR","LAO","Population, total",7769819
"Sierra Leone","SLE","Population, total",8642022
"Switzerland","CHE","Population, total",9034102
"Austria","AUT","Population, total",9178482
"Belarus","BLR","Population, total",9133712
"Togo","TGO","Population, total",9515236
"Hungary","HUN","Population, total",9562314
"Israel","ISR","Population, total",9974400
"Azerbaijan","AZE","Population, total",10202850
"Papua New Guinea","PNG","Population, total",10576502
"Tajikistan","TJK","Population, total",10590927
"Greece","GRC","Population, total",10388805
"United Arab Emirates","ARE","Population, total",10876981
"Sweden","SWE","Population, total",10569709
"Portugal","PRT","Population, total",10701636
"Honduras","HND","Population, total",10825703
"Czechia","CZE","Population, total",10882164
"Cuba","CUB","Population, total",10979783
"Dominican Republic","DOM","Population, total",11427557
"Jordan","JOR","Population, total",11552876
"South Sudan","SSD","Population, total",11943408
"Haiti","HTI","Population, total",11772557
"Belgium","BEL","Population, total",11876844
"Tunisia","TUN","Population, total",12277109
"Bolivia","BOL","Population, total",12413315
"Other small states","OSS","Population, total",12969162
"Burundi","BDI","Population, total",14047786
"Rwanda","RWA","Population, total",14256567
"Benin","BEN","Population, total",14462724
"Guinea","GIN","Population, total",14754785
"Zimbabwe","ZWE","Population, total",16634373
"Cambodia","KHM","Population, total",17638801
"Netherlands","NLD","Population, total",17994237
"Ecuador","ECU","Population, total",18135478
"Senegal","SEN","Population, total",18501984
"Guatemala","GTM","Population, total",18406359
"Somalia, Fed. Rep.","SOM","Population, total",19009151
"Romania","ROU","Population, total",19069340
"Chad","TCD","Population, total",20299123
"Chile","CHL","Population, total",19764771
"Small states","SST","Population, total",20230689
"Kazakhstan","KAZ","Population, total",20592571
"Zambia","ZMB","Population, total",21314956
"Malawi","MWI","Population, total",21655286
"Sri Lanka","LKA","Population, total",21916000
"Burkina Faso","BFA","Population, total",23548781
"Syrian Arab Republic","SYR","Population, total",24672760
"Mali","MLI","Population, total",24478595
"Niger","NER","Population, total",27032412
"Korea, Dem. People's Rep.","PRK","Population, total",26498823
"Australia","AUS","Population, total",27204809
"Venezuela, RB","VEN","Population, total",28405543
"Cameroon","CMR","Population, total",29123744
"Nepal","NPL","Population, total",29651054
"Cote d'Ivoire","CIV","Population, total",31934230
"Madagascar","MDG","Population, total",31964956
"Mozambique","MOZ","Population, total",34631766
"Saudi Arabia","SAU","Population, total",35300280
"Ghana","GHA","Population, total",34427414
"Peru","PER","Population, total",34217848
"Malaysia","MYS","Population, total",35557673
"Uzbekistan","UZB","Population, total",36361859
"Poland","POL","Population, total",36554707
"Angola","AGO","Population, total",37885849
"Morocco","MAR","Population, total",38081173
"Ukraine","UKR","Population, total",37860221
"Yemen, Rep.","YEM","Population, total",40583164
"Canada","CAN","Population, total",41288599
"Afghanistan","AFG","Population, total",42647492
"Iraq","IRQ","Population, total",46042015
"Argentina","ARG","Population, total",45696159
"Algeria","DZA","Population, total",46814308
"Spain","ESP","Population, total",48807137
"Uganda","UGA","Population, total",50015092
"Sudan","SDN","Population, total",50448963
"Korea, Rep.","KOR","Population, total",51751065
"Colombia","COL","Population, total",52886363
"Myanmar","MMR","Population, total",54500091
"Kenya","KEN","Population, total",56432944
"Italy","ITA","Population, total",58986023
"South Africa","ZAF","Population, total",64007187
"Tanzania","TZA","Population, total",68560157
"France","FRA","Population, total",68516699
"United Kingdom","GBR","Population, total",69226000
"Thailand","THA","Population, total",71668011
"Germany","DEU","Population, total",83510950
"Turkiye","TUR","Population, total",85518661
"Iran, Islamic Rep.","IRN","Population, total",91567738
"Central Europe and the Baltics","CEB","Population, total",100050066
"Viet Nam","VNM","Population, total",100987686
"Congo, Dem. Rep.","COD","Population, total",109276265
"Egypt, Arab Rep.","EGY","Population, total",116538258
"Philippines","PHL","Population, total",115843670
"Japan","JPN","Population, total",123975371
"Ethiopia","ETH","Population, total",132059767
"Mexico","MEX","Population, total",130861007
"Russian Federation","RUS","Population, total",143533851
"Bangladesh","BGD","Population, total",173562364
"Brazil","BRA","Population, total",211998573
"Nigeria","NGA","Population, total",232679478
"Pakistan","PAK","Population, total",251269164
"Europe & Central Asia (excluding high income)","ECA","Population, total",250485944
"Indonesia","IDN","Population, total",283487931
"United States","USA","Population, total",340110988
"Euro area","EMU","Population, total",351125804
"North America","NAC","Population, total",381464223
"European Union","EUU","Population, total",450185396
"Europe & Central Asia (IDA & IBRD countries)","TEC","Population, total",459954508
"Arab World","ARB","Population, total",492579811
"Africa Western and Central","AFW","Population, total",521764076
"Latin America & Caribbean (excluding high income)","LAC","Population, total",594158638
"Low income","LIC","Population, total",624608098
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Population, total",647003746
"Latin America & Caribbean","LCN","Population, total",662185950
"IDA blend","IDB","Population, total",676957651
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)","TMN","Population, total",736401764
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)","MNA","Population, total",741690916
"Africa Eastern and Southern","AFE","Population, total",769294618
"Middle East, North Africa, Afghanistan & Pakistan","MEA","Population, total",813118814
"Heavily indebted poor countries (HIPC)","HPC","Population, total",941413026
"Europe & Central Asia","ECS","Population, total",928465742
"Fragile and conflict affected situations","FCS","Population, total",1081767572
"Pre-demographic dividend","PRE","Population, total",1105951788
"Post-demographic dividend","PST","Population, total",1128430188
"Sub-Saharan Africa (excluding high income)","SSA","Population, total",1158877573
"Least developed countries: UN classification","LDC","Population, total",1187777591
"IDA only","IDX","Population, total",1269778611
"Sub-Saharan Africa","SSF","Population, total",1291058694
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","Population, total",1291058694
"OECD members","OED","Population, total",1396914190
"High income","HIC","Population, total",1417871275
"China","CHN","Population, total",1408975000
"India","IND","Population, total",1450935791
"South Asia","SAS","Population, total",1677384532
"South Asia (IDA & IBRD)","TSA","Population, total",1677384532
"IDA total","IDA","Population, total",1946736262
"East Asia & Pacific (IDA & IBRD countries)","TEA","Population, total",2114653077
"East Asia & Pacific (excluding high income)","EAP","Population, total",2141122258
"Late-demographic dividend","LTE","Population, total",2328890789
"East Asia & Pacific","EAS","Population, total",2388378491
"Upper middle income","UMC","Population, total",2818128105
"Lower middle income","LMC","Population, total",3120983658
"Early-demographic dividend","EAR","Population, total",3552278604
"IBRD only","IBD","Population, total",4979720059
"Middle income","MIC","Population, total",5939111763
"Low & middle income","LMY","Population, total",6563719861
"IDA & IBRD total","IBT","Population, total",6926456321
"World","WLD","Population, total",8142056446
"Not classified","INX","Population, total",
